연번,통계사업번호,사업형태,사업분야,사업명_국문,사업명_영문,대상국가,대상지역,전체사업시작,전체사업종료,총약정액,화폐단위,수혜자_전체,수혜자_직접,수혜자_간접,사업요약,사업목표,사업목적,기관,현지파트너,주요실적,문제점대응_전체,문제점대응_문제점,문제점대응_대응현황
1,2014070103326,민관협력사업,보건의료,월드비전 우간다 동부 지역 모자보건 증진사업('14-'18/436만불),"Maternal, Newborn and Child Health Project in Butaleja, Uganda",우간다,카라모자,2014-12-01,2018-12-31,,,,,,,,,,,,,,
2,2014070103328,민관협력사업,보건의료,세이브더칠드런 우간다 모자보건 접근성 및 서비스 향상사업('14-'18/312만불),"Maternal, Newborn and Child Health Project in Ntoroko District, Uganda",우간다,은토로코,2014-12-01,2018-12-31,,,,,,,,,,,,,,
27,2014140088806,민관협력사업,보건의료,"우간다 카라모자아빔 지역 농업 및 식수위생 지원 사업(2014-2016/1,212백만원) ",Uganda Karamoja Abim Food Security and Wash Project,우간다,,2014-01-01,2016-12-31,,,,,,,,,,,,,,
48,2014140088829,민관협력사업,보건의료,지역사회 Outreach Worker 를 활용한 에이즈고아 가정방문 프로그램(2014-2016/919백만원),Home-based OVC program through community outreach worker,우간다,키루후라,2014-01-01,2016-12-31,1073364000.0,원,,빈곤선 미만의 에이즈 영향을 받은 OVC 아동 2049명 (계획된 목표치 대비 186% 초과 혜택을 받음),에이즈 영향 받은 고아 아동이 선정된 1126개 가정 (계획대비 102%). 지방정부 (Kiruhura District 4개 Sub-county) 지역 주민 필수 서비스 제공 기관과 자조 네트웍 등.,우간다 개발목표; 에이즈로 인한 고아 및 취약아동 (Orphans and vulnerable children)의 필수욕구 충족과 필수서비스 지원에 참여하는 지역사회 기관과 네트웍을 증가시켜 HIV/AIDS로 인한 영향이 다음 세대로 전이되는 것을 방지함. (SDG 3; Good Health and Wellbeing Target; By 2030 end the epidemics of AIDS)  추진한 활동과 성과- OVC를 위한 필수서비스 접근성 향상; 가정방문을 통한 사회심리적 지원 말라이아 예방과 관리 에이즈 예방과 검사 및 상담 연계 서비스 교육지지 긴급지원 그리고 서비스 질 관리 평가 등의 사업들이 모두 계획대로 진행이 되었음. 그 결과 아동들이 HIV/AIDS에 대한 취약성 감소 건강수준 향상과 말라리아에 대한 예방력 증가. 또한 지속적인 학교교육과 아웃리치 워커의 멘토링으로 자기 탄력성이 높아짐- OVC 지원역량 강화; 지역사회의 인적 물적 제도적 역량을 강화하고 지역주민과 주요이해관계자들의 인식을 개선함.  우간다 및 HIV 영향받은 OVCs 관련 기관이 갖는 의미; 에이즈의 영향이 다음세대로 전이되는 것을 방지하기 위한 역량을 갖춘 지역 기반 구축. - 네트웍과 협력망을 공유함으로서 효율적인 자원 활용이 가능해짐.,,,예수의꽃동네유지재단,우간다꽃동네, 종합성과 목표; HIV 감염 예방과 관리에 관한 올바른 행태 증가함. - 아동과 양육자의 HIV 수진율이 증가함. - 아웃리치 워커 역시 사업을 수행하며 HIV 낙인태도 심각성 인지 환자에 대한 긍적적인 태도가 유의하게 변화됨 목적- 지역사회의 OVC 지원 역량 강화로 OVC 지원 증가; 외부 지원율이 목표치인 22%를 상회하는 25.3%로 목표가 초과 달성됨- OVC 필수적 서비스 접근성 강화; 기본 욕구 충족율 역시 목표치인 40%를 초과한 56.2%가 만족스러운 서비스를 제공받았다고 함. 산출물- OVC 지원에 참여하는 지역단체·그룹 증가; 계획된 목표 단체인 60개의 2배가 넘는 117개 기관 단체가 협력기관이 되고 새로운 그룹이 생성됨 - 필수서비스 이용 증가; 아동별로 일년에 평균 10회 이상의 필수서비스를 제공받았음. 이 역시 목표치인 일년의 8회를 초과하는 것이며 평가 결과에 의하면 만족도 또한 높았고 점차 증가되는 것으로 나타남, 2017년 코이카 지원금 미확보- 제한된 자체 예산으로 2017년 사업 수행.- 차년도 예산 확보를 위해 효과 평가와 수요 파악을 위한 분석을 하여 지속가능성이 담보될 수 있는 사업 개발,,
91,2014140089186,민관협력사업,보건의료,우간다 루웨로 주 보건소 역량 강화사업 (2차사업),"Project to Strengthen Health Centers in Luwero District, Uganda -Strengthen of Health personnel and HC Ⅳ -Ⅱ management system(phase 2)",우간다,,2014-01-01,2014-12-31,,,,,,,,,,,,,,
102,2014140089200,민관협력사업,교육,우간다 글루 지역의 초등교사 문해 및 수리 교수학습역량강화사업,"Primary Teachers' Instructional Capacity Building in Literacy and Numeracy in Gulu, Uganda",우간다,,2014-12-31,2015-12-31,,,,,,,,,,,,,,
107,2014140089211,민관협력사업,공공행정,우간다 중소기업 금융접근성 개선사업('15-'18/3년6개월),KOICA-Mango Fund program for small business innovation in Uganda,우간다,,2014-12-31,2018-06-30,,,,,,,,,,,,,,
135,2015140318999,민관협력사업,농림수산,"우간다 고아 및 취약아동 가정 지원 사업 ('15.5-'18.3/1,333백만원/한국해비타트)","Support OVC families at Kiryandongo refugee camp, Uganda with shelter and in order to reduece their vulnerability and increase self-reliance",우간다,마신디 구역 키란동고 타운,2015-05-01,2018-03-31,1068381558.0,원,총 1932명1. 커뮤니티 주거환경 개선: 432명2. 커뮤니티 인식증진: 1500명,,,배경: 2010년 우간다 동쪽 부두다 지역에서 산사태가 일어나서 수천 명의 사람들이 사망하고 거주지를 잃었다. 이들은 임시적으로 부두다 난민캠프에 이주하였지만 이미 포화상태였던 캠프는 이들을 수용할 수 없었다. 이에 대응하여 우간다 정부는 이 국내이재민들을 키란동고로 이주시켰고 거주할 땅을 제공해 주었지만 이들에 대한 정부의 지원은 한정적이었다. 총 603세대가 이주하였지만 단지 100세대에 대한 주택지원 이후 약속은 지켜지지 않고 있다. 사업내용: 우간다의 고아 및 취약아동(OVC)가정 맞춤형 통합 지원을 통한 삶의 질 향상을 위하여 취약계층 108세대(432명)의 주거 및 위생 환경 개선뿐만 아니라 우수저장탱크 설치를 통해 안전한 생활용수로의 접근을 향상시키고 1) 물과 위생교육 및 생리대 배포를 통해 위생에 대한 인식을 증진시키고 2) 에이즈예방 3) 말라리아예방 4) 청소년 성 건강과 5) 심리사회적 지원 교육을 통해서 역량을 강화하며 6) 과실나무 재배에 대한 교육 및 실습을 통하여 취약계층의 인식개선 및 역량의 강화를 촉진한다. 또한 지역사회 전체를 대상(1500명 목표)으로 라디오 방송 및 인식증진 행사를 통해 1) 물과 위생 2) 에이즈 3) 말라리아 예방 4) 청소년 성 건강 5) 심리사회적 지원 6) 과실나무 재배에 대한 교육을 진행함으로 인해서 전체적인 커뮤니티의 인식증진을 도모한다.,,,한국해비타트,우간다해비타트,1) 주요 이해관계자 미팅: 지방정부관료 라디오토크쇼 관계자 들을 모아서 사업에 대한 설명을 하였으며 적극적인 정부의 협조의지를 확인할 수 있었음 2) 수혜자 선정 완료: 36세대3) 주택건축- 4개의 건축회사를 통하여 36세대가 전체 공정 중 10% 진행- 공개입찰을 통한 4개 협력업체 선정 中: Action construction company/Ayembose Ltd/ Tarvan Engineering Services Ltd/ Ailwar General Works Ltd4) 주택건축 상황총 선택된 4업체 중 4업체 모두 건축 완료 (100%) 5) 모기장 지급 및 재생 가능한 생리대 구매 완료- 모기장 244 구입   / 생리대 244 구입 6) 36개 우수저장탱크 설치 완료 첨부14 우수저장탱크 참고자료7) WASH 교육 (Training / Radio talk show / Drama group) 진행 완료8) 유산상속교육 (Radio talk show) 진행 완료9) HIV/AIDs 교육 (Drama group) 진행 완료,▣ 언어: 본 사업의 수혜자들은 2010년에 발생된 산사태로 우간다 부두다에서 온 같은 지역 난민들이지만 지역 내에서 서로 사용하는 언어가 달라 교육 사업 및 수혜자 인터뷰 등을 진행하는 데 어려움이 있었음. 해비타트는 수혜자들이 주로 사용하는 언어인 스와힐리어 및 루기슈로 통역할 수 있는 통역원을 대동하여 수혜자 인터뷰 등 사업을 진행하였음. 훈련 및 사전시험 내용이 수혜자들이 명확히 이해할 수 있도록 번역되었는지 확실히 하기 위해 지역 통역사를 고용함▣ 대지: 우간다 해비타트 수혜자가 되기 위해서는 건축과정에 반드시 참여함. 건축과정 참여의 일환으로 화장실 구덩이를 파는 작업이 요구됨. 그러나 구덩이를 파는 과정 중 지하에서 물이 올라오는 일이 발생함. 또한 건축 시 지하에서 물이 올라오는 현상을 방지하기 위해 지방정부와 협업하여 수혜자들에게 새로운 땅을 제공함. 이로 인해 수혜자들이 화장실 구덩이를 파는 것이 가능해짐 ▣ 건축 : Ailwar(건축업자) 현장 노동인력의 분배가 건축 보조인력보다 석공 인력이 많아 인력을 추가 고용해야 되는 상황임. 현재 25명이 노동현장에서 일하고 있으며 2팀으로 나누어 각 팀당 4세대 주택 건축을 담당하였음. 다른 건축업체 3곳은 12월에 완료하였으며 Ailwar는 인력배분의 문제로 1월 2일에 종료됨. 향 후 유지보수에 대하여 진행시에는 계획대비 지연된 Ailwar의 인력상황을 모니터링하여 이상 없이 진행되도록 확인할 예정임.,,
136,2015140319000,민관협력사업,농림수산,우간다 양계 모델 농장 및 사료자급 시스템 보급을 통한 지역 소득증대(2015.5-2018.4/179백만원/CPP/가나안세계지도자교육원),"Community Income improvement through making business model self-supporting feed making system of model farm in Kiilema, Uganda",우간다,,2015-05-01,2018-04-30,,,,,,,,,,,,,,
139,2015140319003,민관협력사업,교육,우간다 빈곤아동 교육 및 여성 자립역량강화(2015-2017/690백만원/CPP/엔젤스헤이븐/phase2),"Education for children in poverty and women empowerment, Uganda",우간다,,2015-04-01,2018-03-31,,,,,,,,,,,,,,
